key|title|level|semester|parcours|objective|content
Projet transversal|Projet transversal|Master|1|M1 Architecture Logicielle (ALMA),M1 Smart Computing|nan|nan
Preuves et Constructions Formelles|Preuves et Constructions Formelles||||"1. Maîtriser et savoir manipuler les formalismes théoriques pour la modélisation de problèmes logiciels à base d'automates et logiques.
2. Comprendre le concept de vérification formelle et être capable d'utiliser des techniques adaptées telles que le model checking ou le theorem proving.
3. Etre capable de mettre en oeuvre les techniques de modélisation et de vérification formelle à l'aide d'outils adaptés, par ex. Uppaal et CoQ."|
Programmation concurrente en multi-threads|"Une préoccupation de l'Informaticien, quel que soit son domaine, est de comprendre les besoins et les exigences d'un projet, de les analyser, de les modéliser, de les structurer, de les stocker, de les programmer. Ce module donne des bases sur ces aspects Logiciel ; ces bases sont nécessaires dans le socle de connaissances de tout étudiant du secteur Logiciel, qui va forcément se confronter au ""logiciel"". On retrouve ces bases dans les curricula de l'ACM ou de l'IEEE (Software engineering body of knowledge) pour le niveau Master.
Le contenu couvre aussi bien des aspects fondamentaux que ceux directement liés aux environnements professionnels industriels.
Objectifs : Donner aux étudiants, quel que soit leur parcours en Master Informatique, les bases et les outils pour la construction ou l'analyse de logiciels complexes. Ces bases recouvrent aussi bien les fondamentaux académiques que le contexte professionnel industriel.
- Notions d'Ingénierie des exigences (avec diverses méthodes)
- Les normes (ou standard) de qualité et de sécurité des logiciels (IEC 61508, SIL, etc)
- Logiques, Modèles et Propriétés des logiciels
- Exploration de modèles de logiciels/systèmes
- Introduction aux prouveurs de propriétés
- Prototypage, simulation Détails du contenu:
- Notions d'Ingénierie des exigences
La bonne compréhension et la formulation des exigences d'un projet/problème est primordial pour bien le traiter et le faire évoluer.
Il y a diverses méthodes pour cela, et toute un pan de discipline 'Requirement Engineering' se développe.
- Les normes (ou standard) de qualité et de sécurité des logiciels (IEC 61508, SIL, etc) Le développement de logiciels répond à un certain niveau de complexité ou de sécurité, à des normes de développement, qui doivent intégrer dès le debut des projets logiciels.
- Logiques et Modèles
Pour analyser les exigences et spécifier les logiciels
- Propriétés des logiciels
Pour exprimer les attentes d'un logiciel)
- Exploration de modèles de logiciels/systèmes
Découvrir les techniques d'analyse du logiciel (model-checking) et pour permettre d'analyser des parties de logiciels
- Introduction aux prouveurs de propriétés Découvrir des techniques d'analyse du logiciel
- Prototypage, simulation
Découvrir techniques et outils d'aide au passage des modèles aux logiciels"|Master|1|M1 Visual Computing (VICO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture Logicielle (ALMA),M1 Data Science (DS) ,M1 Smart Computing|nan|"Une préoccupation de l'Informaticien, quel que soit son domaine, est de comprendre les besoins et les exigences d'un projet, de les analyser, de les modéliser, de les structurer, de les stocker, de les programmer. Ce module donne des bases sur ces aspects Logiciel ; ces bases sont nécessaires dans le socle de connaissances de tout étudiant du secteur Logiciel, qui va forcément se confronter au ""logiciel"". On retrouve ces bases dans les curricula de l'ACM ou de l'IEEE (Software engineering body of knowledge) pour le niveau Master.
Le contenu couvre aussi bien des aspects fondamentaux que ceux directement liés aux environnements professionnels industriels.
Objectifs : Donner aux étudiants, quel que soit leur parcours en Master Informatique, les bases et les outils pour la construction ou l'analyse de logiciels complexes. Ces bases recouvrent aussi bien les fondamentaux académiques que le contexte professionnel industriel.
- Notions d'Ingénierie des exigences (avec diverses méthodes)
- Les normes (ou standard) de qualité et de sécurité des logiciels (IEC 61508, SIL, etc)
- Logiques, Modèles et Propriétés des logiciels
- Exploration de modèles de logiciels/systèmes
- Introduction aux prouveurs de propriétés
- Prototypage, simulation Détails du contenu:
- Notions d'Ingénierie des exigences
La bonne compréhension et la formulation des exigences d'un projet/problème est primordial pour bien le traiter et le faire évoluer.
Il y a diverses méthodes pour cela, et toute un pan de discipline 'Requirement Engineering' se développe.
- Les normes (ou standard) de qualité et de sécurité des logiciels (IEC 61508, SIL, etc) Le développement de logiciels répond à un certain niveau de complexité ou de sécurité, à des normes de développement, qui doivent intégrer dès le debut des projets logiciels.
- Logiques et Modèles
Pour analyser les exigences et spécifier les logiciels
- Propriétés des logiciels
Pour exprimer les attentes d'un logiciel)
- Exploration de modèles de logiciels/systèmes
Découvrir les techniques d'analyse du logiciel (model-checking) et pour permettre d'analyser des parties de logiciels
- Introduction aux prouveurs de propriétés Découvrir des techniques d'analyse du logiciel
- Prototypage, simulation
Découvrir techniques et outils d'aide au passage des modèles aux logiciels"
Données massives et cloud|Données massives et cloud||||nan|"• Indentifier les services fournis pour une infrastructure de type cloud
• Evaluer sur une applciation passe à l’échelle dans le cloud,
• Evaluer la fiabilité d'une appllication dans le contexte de cloud
• Conception et déploiement des applications à large échelle dans un cloud
• REST API dans le contexte de cloud
• Stocker et accéder des données massives dans le cloud
• Calculer le coût d’une application web dans le cloud"
Optimisation discrète et combinatoire|"Contenu:
• Modèle de données RDF (Ressources Description Framework)
• Langage d’ontologie RDFS, OWL
• Logique de description et les règles d’inférences
• Langage de requêtes SPARQL
• Les principes de données ouvertes liées"|Master|1|M1 Optimisation en Recherche Opérationnelle (ORO),M1 CMI-OPTIM,M1 Smart Computing|nan|"Contenu:
• Modèle de données RDF (Ressources Description Framework)
• Langage d’ontologie RDFS, OWL
• Logique de description et les règles d’inférences
• Langage de requêtes SPARQL
• Les principes de données ouvertes liées"
Research Discovery|Research Discovery|Master|1|M1 Smart Computing|nan|nan
Apprentissage automatique|Apprentissage automatique|Master|2|M1 Ingénierie Statistique (IS),M1 CMI-IS,M1 Data Science (DS) ,M1 Visual Computing (VICO),M1 Optimisation en Recherche Opérationnelle (ORO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture Logicielle (ALMA),M1 CMI-OPTIM,M1 Smart Computing|nan|nan
Projet de recherche|Projet de recherche|Master|2|M1 Data Science (DS) ,M1 Visual Computing (VICO),M1 Optimisation en Recherche Opérationnelle (ORO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture Logicielle (ALMA),M1 CMI-OPTIM,M1 Smart Computing|nan|"Le projet de recherche est une mise en situation d'apprentissage de compétences liées à la recherche.
Il s'agit de travailler sur une sujet de recherche fourni par une équipe de recherche de LS2N, supervisé par un chercheur professionel.
L'objectif est constuire une contribution scientifique sur un problème scientifique indentifié.  Cette contribution doit être clairement positionnée par rapport à l'état l'art et validée suivant une méthodologie scientifique.
Le travail doit être présenté sous forme d'un article de recherche respectant les codes d'un travail académique. Le travail doit être défendu lors d'une présentation orale devant un jury de chercheurs professionels.
Ce travail s'effectue tout au long du semestre et requiert des échanges scientifiques régulier avec les chercheurs.
Les activités visées
- Conception et élaboration d’une démarche de recherche et développement, d’études et prospective
- Mise en oeuvre d’une démarche de recherche et développement, d’études et prospective Les compétences visées sont:
- Disposer d’une expertise scientifique tant générale que spécifique d’un domaine de recherche et de travail déterminé
- Faire le point sur l’état et les limites des savoirs au sein d’un secteur d’activité déterminé, aux échelles locale, nationale et internationale
- Identifier et résoudre des problèmes complexes et nouveaux impliquant une pluralité de domaines, en mobilisant les connaissances et les savoir–faire les plus avancés."
Professionnalisation|Professionnalisation|Master|2|M1 Smart Computing|nan|nan
Summer Internship (M1 SMART)|Summer Internship (M1 SMART)|Master|2|M1 Smart Computing|nan|nan
